Community AQHI requested for the time period from May 14 2023 15:00 to May 25 2023 16:00,,,,,,,,,,,
Date,Cadotte Lake,Caroline,Chipman,Drayton Valley,Elk Island,Genesee,Grimshaw,Lamont,Red Deer,St. Albert,Steeper
May 14 2023 15:00 MST,N/A,3,N/A,4,4,4,4,4,3,4,4
May 14 2023 16:00 MST,N/A,3,N/A,4,4,4,5,4,3,4,4
May 14 2023 17:00 MST,N/A,3,N/A,4,4,4,5,4,3,4,4
May 14 2023 18:00 MST,N/A,3,N/A,4,4,4,5,4,3,4,4
May 14 2023 19:00 MST,N/A,3,N/A,4,4,4,6,4,3,4,4
May 14 2023 20:00 MST,N/A,3,N/A,4,4,4,7,4,3,4,4
May 14 2023 21:00 MST,N/A,3,N/A,4,4,4,8,4,3,4,4
May 14 2023 22:00 MST,N/A,3,N/A,4,4,4,9,4,10+,4,4
May 14 2023 23:00 MST,N/A,3,N/A,4,4,3,8,4,10+,4,4
May 15 2023 00:00 MST,N/A,3,N/A,4,3,3,8,4,3,4,4
May 15 2023 01:00 MST,N/A,3,N/A,4,3,3,8,3,3,4,3
May 15 2023 02:00 MST,N/A,3,N/A,3,3,3,8,3,3,3,3
May 15 2023 03:00 MST,N/A,3,N/A,3,3,3,N/A,3,2,3,3
May 15 2023 04:00 MST,N/A,2,N/A,3,3,3,N/A,2,2,3,3
May 15 2023 05:00 MST,N/A,2,N/A,3,3,3,N/A,2,2,3,3
May 15 2023 06:00 MST,N/A,2,N/A,3,3,2,10+,2,2,3,3
May 15 2023 07:00 MST,N/A,2,N/A,2,3,2,10+,2,2,3,3
May 15 2023 08:00 MST,N/A,2,N/A,2,3,2,10+,2,2,3,3
May 15 2023 09:00 MST,N/A,2,N/A,2,2,2,10+,2,2,3,3
May 15 2023 10:00 MST,N/A,2,N/A,2,3,2,10+,2,2,3,3
May 15 2023 11:00 MST,N/A,2,N/A,3,3,2,10+,3,2,3,3
May 15 2023 12:00 MST,N/A,2,N/A,3,3,3,10+,3,3,3,4
May 15 2023 13:00 MST,N/A,3,N/A,3,3,3,10+,3,3,3,4
May 15 2023 14:00 MST,N/A,3,N/A,3,3,3,9,3,3,3,5
May 15 2023 15:00 MST,N/A,3,N/A,3,3,3,8,3,3,3,5
May 15 2023 16:00 MST,N/A,3,N/A,4,3,3,8,3,4,3,6
May 15 2023 17:00 MST,N/A,3,N/A,4,4,4,9,4,4,4,7
May 15 2023 18:00 MST,N/A,3,N/A,4,4,4,10,4,7,4,7
May 15 2023 19:00 MST,N/A,3,N/A,4,4,4,10+,4,7,4,7
May 15 2023 20:00 MST,N/A,3,N/A,4,4,4,10+,4,7,4,6
May 15 2023 21:00 MST,N/A,3,N/A,4,3,4,10+,3,8,4,6
May 15 2023 22:00 MST,N/A,3,N/A,4,3,4,10+,3,8,4,6
May 15 2023 23:00 MST,N/A,3,N/A,4,3,4,10+,3,8,4,6
May 16 2023 00:00 MST,N/A,3,N/A,3,3,4,10+,3,8,4,5
May 16 2023 01:00 MST,N/A,3,N/A,4,3,3,10+,3,5,3,5
May 16 2023 02:00 MST,N/A,3,N/A,7,3,3,10+,2,4,4,4
May 16 2023 03:00 MST,N/A,3,N/A,7,3,3,7,2,3,4,4
May 16 2023 04:00 MST,N/A,3,N/A,8,3,3,3,2,3,3,4
May 16 2023 05:00 MST,N/A,4,N/A,9,3,4,3,2,2,3,7
May 16 2023 06:00 MST,N/A,7,N/A,10+,2,8,3,2,2,8,8
May 16 2023 07:00 MST,N/A,10+,N/A,10+,3,8,3,7,2,7,9
May 16 2023 08:00 MST,N/A,10+,N/A,10+,7,9,8,4,7,7,9
May 16 2023 09:00 MST,N/A,10+,N/A,10+,5,9,7,5,9,5,8
May 16 2023 10:00 MST,N/A,10+,N/A,10+,4,7,7,4,9,4,8
May 16 2023 11:00 MST,N/A,10+,N/A,10+,3,5,5,4,9,3,8
May 16 2023 12:00 MST,N/A,10+,N/A,10,3,4,4,N/A,8,3,8
May 16 2023 13:00 MST,N/A,10+,N/A,7,3,4,3,N/A,6,4,7
May 16 2023 14:00 MST,N/A,10+,N/A,6,3,4,3,3,7,4,7
May 16 2023 15:00 MST,N/A,10,N/A,5,3,8,3,3,7,3,6
May 16 2023 16:00 MST,N/A,9,N/A,5,4,9,3,3,9,3,7
May 16 2023 17:00 MST,N/A,8,N/A,6,4,9,3,3,9,4,7
May 16 2023 18:00 MST,N/A,6,N/A,5,4,10+,3,3,10,5,8
May 16 2023 19:00 MST,N/A,5,N/A,5,4,10+,3,3,10+,5,8
May 16 2023 20:00 MST,N/A,5,N/A,4,4,10+,3,3,10+,4,10
May 16 2023 21:00 MST,N/A,4,N/A,4,4,10+,3,3,10+,4,10
May 16 2023 22:00 MST,N/A,4,N/A,4,3,10+,3,3,10+,7,10+
May 16 2023 23:00 MST,N/A,N/A,N/A,7,3,10+,3,2,10+,8,10+
May 17 2023 00:00 MST,N/A,N/A,N/A,9,3,10+,4,2,10+,9,10+
May 17 2023 01:00 MST,N/A,N/A,N/A,10,2,10+,4,2,10+,10,10+
May 17 2023 02:00 MST,N/A,N/A,N/A,10+,2,10+,4,2,10+,9,10+
May 17 2023 03:00 MST,N/A,N/A,N/A,10+,2,10+,4,2,10+,9,10+
May 17 2023 04:00 MST,N/A,N/A,N/A,10+,2,10+,4,2,10+,9,10+
May 17 2023 05:00 MST,N/A,N/A,N/A,10+,3,10+,3,3,10+,10,10+
May 17 2023 06:00 MST,N/A,N/A,N/A,10+,4,10+,3,3,10+,9,10+
May 17 2023 07:00 MST,N/A,N/A,N/A,10+,7,10+,3,4,10+,10,10+
May 17 2023 08:00 MST,N/A,N/A,N/A,10+,8,10+,3,4,10+,10+,10+
May 17 2023 09:00 MST,N/A,N/A,N/A,10+,7,10+,3,10+,10+,10+,10+
May 17 2023 10:00 MST,N/A,N/A,N/A,10+,7,10+,4,10,10+,10+,10+
May 17 2023 11:00 MST,N/A,N/A,N/A,10+,7,10+,5,10,10+,N/A,10
May 17 2023 12:00 MST,N/A,N/A,N/A,10+,6,9,5,5,10+,N/A,9
May 17 2023 13:00 MST,N/A,10+,N/A,10,5,6,4,4,8,N/A,8
May 17 2023 14:00 MST,N/A,10+,N/A,7,4,4,3,4,7,N/A,7
May 17 2023 15:00 MST,N/A,10+,N/A,6,5,4,3,4,7,N/A,6
May 17 2023 16:00 MST,N/A,10+,N/A,6,5,4,3,4,7,N/A,6
May 17 2023 17:00 MST,N/A,10+,N/A,5,4,4,3,3,7,4,6
May 17 2023 18:00 MST,N/A,10+,N/A,5,4,4,3,3,6,4,5
May 17 2023 19:00 MST,N/A,10+,N/A,5,3,4,3,3,6,4,5
May 17 2023 20:00 MST,N/A,10+,N/A,5,3,4,3,3,5,3,6
May 17 2023 21:00 MST,N/A,9,N/A,5,3,4,3,3,5,3,7
May 17 2023 22:00 MST,N/A,7,N/A,5,3,4,3,3,4,3,7
May 17 2023 23:00 MST,N/A,6,N/A,5,3,3,10+,3,4,3,8
May 18 2023 00:00 MST,N/A,5,N/A,5,3,3,10+,3,4,3,7
May 18 2023 01:00 MST,N/A,5,N/A,4,3,3,10+,3,3,3,7
May 18 2023 02:00 MST,N/A,4,N/A,3,2,2,10+,3,3,2,7
May 18 2023 03:00 MST,N/A,4,N/A,3,2,2,10+,2,2,2,7
May 18 2023 04:00 MST,N/A,5,N/A,3,2,2,10+,2,2,2,8
May 18 2023 05:00 MST,N/A,7,N/A,3,3,2,10+,2,2,2,9
May 18 2023 06:00 MST,N/A,7,N/A,3,3,2,10+,2,2,2,10
May 18 2023 07:00 MST,N/A,7,N/A,2,3,2,10+,2,2,3,10+
May 18 2023 08:00 MST,N/A,5,N/A,2,3,2,10+,2,2,3,10+
May 18 2023 09:00 MST,N/A,5,N/A,2,3,2,10+,3,2,3,10+
May 18 2023 10:00 MST,N/A,7,N/A,2,3,2,10+,3,2,3,10+
May 18 2023 11:00 MST,N/A,5,N/A,2,3,2,10+,3,3,3,10+
May 18 2023 12:00 MST,N/A,5,N/A,2,3,3,10+,3,3,3,10+
May 18 2023 13:00 MST,N/A,5,N/A,3,3,3,10+,3,3,3,10+
May 18 2023 14:00 MST,N/A,4,N/A,3,3,3,10+,3,3,3,10+
May 18 2023 15:00 MST,N/A,4,N/A,3,3,3,10,3,3,4,10+
May 18 2023 16:00 MST,N/A,4,N/A,4,3,4,10,4,4,4,10+
May 18 2023 17:00 MST,N/A,5,N/A,5,4,4,10+,4,4,4,10+
May 18 2023 18:00 MST,N/A,5,N/A,5,4,4,10+,4,4,4,10+
May 18 2023 19:00 MST,N/A,5,N/A,5,4,4,10+,4,4,4,10+
May 18 2023 20:00 MST,N/A,5,N/A,5,4,4,10+,4,4,4,10+
May 18 2023 21:00 MST,N/A,5,N/A,4,4,4,10+,4,4,4,10+
May 18 2023 22:00 MST,N/A,5,N/A,4,4,4,10+,4,4,4,9
May 18 2023 23:00 MST,N/A,5,N/A,4,4,4,10+,4,4,4,8
May 19 2023 00:00 MST,N/A,4,N/A,4,4,4,10+,4,4,4,8
May 19 2023 01:00 MST,N/A,4,N/A,4,4,4,10+,3,3,3,10
May 19 2023 02:00 MST,N/A,4,N/A,4,4,4,10+,3,3,3,10+
May 19 2023 03:00 MST,N/A,4,N/A,4,4,4,10+,3,3,3,10
May 19 2023 04:00 MST,N/A,4,N/A,4,3,4,9,3,3,3,7
May 19 2023 05:00 MST,N/A,4,N/A,5,3,4,9,3,3,3,6
May 19 2023 06:00 MST,N/A,4,N/A,7,3,3,9,2,3,3,5
May 19 2023 07:00 MST,N/A,4,N/A,6,3,3,9,2,3,3,5
May 19 2023 08:00 MST,N/A,4,N/A,7,3,4,9,2,3,3,4
May 19 2023 09:00 MST,N/A,4,N/A,8,3,4,10,3,3,3,4
May 19 2023 10:00 MST,N/A,7,N/A,9,3,10+,10+,3,3,4,4
May 19 2023 11:00 MST,N/A,7,N/A,10,4,10+,10+,3,4,7,4
May 19 2023 12:00 MST,N/A,8,N/A,10+,4,10+,10+,4,4,8,4
May 19 2023 13:00 MST,N/A,7,N/A,10,5,10+,10+,5,5,10,4
May 19 2023 14:00 MST,N/A,6,N/A,9,7,10+,10+,7,6,10,5
May 19 2023 15:00 MST,N/A,6,N/A,7,8,10+,10+,8,6,8,5
May 19 2023 16:00 MST,N/A,6,N/A,7,9,9,10+,8,6,7,5
May 19 2023 17:00 MST,N/A,6,N/A,7,8,7,10+,7,6,6,5
May 19 2023 18:00 MST,N/A,5,N/A,7,8,6,10+,7,5,6,5
May 19 2023 19:00 MST,N/A,5,N/A,7,9,7,10+,7,5,8,5
May 19 2023 20:00 MST,N/A,6,N/A,8,10+,7,10+,8,5,9,5
May 19 2023 21:00 MST,N/A,7,N/A,9,10+,7,10+,8,5,10,5
May 19 2023 22:00 MST,N/A,8,N/A,9,10+,7,10+,8,5,10,5
May 19 2023 23:00 MST,N/A,8,N/A,9,10+,8,10+,9,5,10,5
May 20 2023 00:00 MST,N/A,8,N/A,8,10+,8,10+,10,5,10+,5
May 20 2023 01:00 MST,N/A,8,N/A,7,10+,8,10+,10+,5,10+,4
May 20 2023 02:00 MST,N/A,7,N/A,7,10+,8,10+,10+,5,10+,4
May 20 2023 03:00 MST,N/A,7,N/A,10,10+,8,10,10+,5,10+,4
May 20 2023 04:00 MST,N/A,8,N/A,10+,10+,8,9,10+,5,10+,4
May 20 2023 05:00 MST,N/A,8,N/A,10+,10+,8,9,10+,5,10+,4
May 20 2023 06:00 MST,N/A,8,N/A,10+,10+,8,8,10+,7,10+,4
May 20 2023 07:00 MST,N/A,7,N/A,10+,10+,10,7,10+,7,10+,3
May 20 2023 08:00 MST,N/A,7,N/A,10+,10+,10,8,10+,7,10+,3
May 20 2023 09:00 MST,N/A,7,N/A,10+,10+,10,10,10+,7,10+,3
May 20 2023 10:00 MST,N/A,7,N/A,10+,10+,10+,10+,10+,9,10+,4
May 20 2023 11:00 MST,N/A,7,N/A,10+,10+,10+,10+,9,10,10+,4
May 20 2023 12:00 MST,N/A,9,N/A,10+,10,10+,10+,7,10+,10+,4
May 20 2023 13:00 MST,N/A,10+,N/A,10+,10+,10+,10+,6,10+,10+,4
May 20 2023 14:00 MST,N/A,10+,N/A,10+,10+,10+,10+,7,10+,10+,4
May 20 2023 15:00 MST,N/A,10+,N/A,10+,10+,10+,10+,9,10+,10+,4
May 20 2023 16:00 MST,N/A,10+,N/A,10+,10+,10+,10+,10+,10+,10+,4
May 20 2023 17:00 MST,N/A,10+,N/A,10+,10+,10+,10+,10+,10+,10+,3
May 20 2023 18:00 MST,N/A,10+,N/A,10+,10+,10+,10+,10+,10+,10+,8
May 20 2023 19:00 MST,N/A,10+,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 20 2023 20:00 MST,N/A,10+,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 20 2023 21:00 MST,N/A,10,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 20 2023 22:00 MST,N/A,10,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 20 2023 23:00 MST,N/A,10,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 21 2023 00:00 MST,N/A,10+,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 21 2023 01:00 MST,N/A,10+,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 21 2023 02:00 MST,N/A,10,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 21 2023 03:00 MST,N/A,10,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 21 2023 04:00 MST,N/A,9,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 21 2023 05:00 MST,N/A,8,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 21 2023 06:00 MST,N/A,8,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 21 2023 07:00 MST,N/A,9,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 21 2023 08:00 MST,N/A,10,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 21 2023 09:00 MST,N/A,10,N/A,10+,10+,10+,10+,10+,10+,10+,10+
May 21 2023 10:00 MST,N/A,10+,N/A,10,10+,10+,10+,10+,10+,10+,10+
May 21 2023 11:00 MST,N/A,10+,N/A,10,10+,10+,10+,N/A,10+,10+,10+
May 21 2023 12:00 MST,N/A,10+,N/A,10,10+,10+,10+,N/A,10+,10+,10+
May 21 2023 13:00 MST,N/A,10+,N/A,10+,10+,10+,10+,10+,10+,10+,9
May 21 2023 14:00 MST,N/A,10+,N/A,10+,10+,10+,10+,10+,10,10+,8
May 21 2023 15:00 MST,N/A,10,N/A,10+,10,10+,10+,10+,9,10+,8
May 21 2023 16:00 MST,N/A,9,N/A,10+,10,10+,10+,10+,9,10+,7
May 21 2023 17:00 MST,N/A,8,N/A,10+,10,10+,10+,10+,9,9,5
May 21 2023 18:00 MST,N/A,7,N/A,10+,10,10+,10+,10,9,8,4
May 21 2023 19:00 MST,N/A,6,N/A,10+,9,10+,10+,9,8,8,3
May 21 2023 20:00 MST,N/A,6,N/A,10+,9,9,10+,8,7,7,3
May 21 2023 21:00 MST,N/A,5,N/A,10+,10,8,10+,8,7,8,4
May 21 2023 22:00 MST,N/A,5,N/A,10+,10,8,10+,8,6,8,5
May 21 2023 23:00 MST,N/A,5,N/A,10+,9,9,10+,8,6,8,6
May 22 2023 00:00 MST,N/A,4,N/A,9,9,10+,10,7,6,8,6
May 22 2023 01:00 MST,N/A,4,N/A,6,8,10+,7,7,7,7,6
May 22 2023 02:00 MST,N/A,4,N/A,7,7,10,6,6,7,8,6
May 22 2023 03:00 MST,N/A,N/A,N/A,7,7,8,6,5,7,9,5
May 22 2023 04:00 MST,N/A,N/A,N/A,7,6,8,5,4,8,10,5
May 22 2023 05:00 MST,N/A,N/A,N/A,7,5,8,7,3,8,9,5
May 22 2023 06:00 MST,N/A,N/A,N/A,7,5,10,7,3,9,7,4
May 22 2023 07:00 MST,N/A,N/A,N/A,7,4,10+,7,3,10,5,4
May 22 2023 08:00 MST,N/A,N/A,N/A,7,4,10+,7,3,10,4,4
May 22 2023 09:00 MST,N/A,N/A,N/A,7,4,10,7,2,10+,4,3
May 22 2023 10:00 MST,N/A,N/A,N/A,7,4,10,9,3,10+,4,3
May 22 2023 11:00 MST,N/A,N/A,N/A,7,4,9,10,4,10+,4,3
May 22 2023 12:00 MST,N/A,7,N/A,N/A,4,8,10+,5,10+,4,3
May 22 2023 13:00 MST,N/A,7,N/A,N/A,4,8,10+,5,10+,5,3
May 22 2023 14:00 MST,N/A,6,N/A,N/A,5,8,10+,5,10+,5,3
May 22 2023 15:00 MST,N/A,5,N/A,N/A,5,7,10+,5,10,7,4
May 22 2023 16:00 MST,N/A,6,N/A,N/A,5,7,9,5,9,7,4
May 22 2023 17:00 MST,N/A,5,N/A,N/A,5,7,6,5,8,7,4
May 22 2023 18:00 MST,N/A,4,N/A,6,5,7,4,5,7,7,3
May 22 2023 19:00 MST,N/A,3,N/A,6,7,7,3,5,7,7,2
May 22 2023 20:00 MST,N/A,3,N/A,7,8,7,2,8,6,7,2
May 22 2023 21:00 MST,N/A,3,N/A,7,8,6,2,8,4,7,1
May 22 2023 22:00 MST,N/A,3,N/A,7,8,5,2,8,3,7,1
May 22 2023 23:00 MST,N/A,3,N/A,6,8,7,2,6,3,7,1
May 23 2023 00:00 MST,N/A,3,N/A,5,7,7,2,4,3,7,1
May 23 2023 01:00 MST,N/A,2,N/A,7,6,8,2,4,2,7,1
May 23 2023 02:00 MST,N/A,2,N/A,7,4,8,2,4,2,6,1
May 23 2023 03:00 MST,N/A,2,N/A,7,5,8,2,4,2,5,1
May 23 2023 04:00 MST,N/A,2,N/A,6,5,8,3,4,2,4,1
May 23 2023 05:00 MST,N/A,2,N/A,4,5,8,3,4,2,4,1
May 23 2023 06:00 MST,N/A,1,N/A,2,4,8,3,4,2,4,1
May 23 2023 07:00 MST,N/A,1,N/A,1,4,6,3,4,2,4,1
May 23 2023 08:00 MST,N/A,1,N/A,1,4,5,3,4,2,4,1
May 23 2023 09:00 MST,N/A,1,N/A,1,3,3,3,4,2,3,1
May 23 2023 10:00 MST,N/A,2,N/A,1,3,2,3,4,2,3,1
May 23 2023 11:00 MST,N/A,2,N/A,1,3,1,3,3,2,2,1
May 23 2023 12:00 MST,N/A,2,N/A,1,3,1,3,3,2,2,1
May 23 2023 13:00 MST,N/A,2,N/A,1,3,1,3,3,2,2,1
May 23 2023 14:00 MST,N/A,2,N/A,1,3,1,3,3,2,2,1
May 23 2023 15:00 MST,N/A,2,N/A,2,3,1,3,3,2,2,1
May 23 2023 16:00 MST,N/A,2,N/A,2,3,2,3,3,2,2,1
May 23 2023 17:00 MST,N/A,2,N/A,2,3,2,4,3,2,2,1
May 23 2023 18:00 MST,N/A,2,N/A,2,3,2,4,3,2,2,1
May 23 2023 19:00 MST,N/A,2,N/A,2,3,2,4,3,2,2,1
May 23 2023 20:00 MST,N/A,2,N/A,2,3,2,4,2,2,2,1
May 23 2023 21:00 MST,N/A,2,N/A,2,2,2,4,2,2,2,1
May 23 2023 22:00 MST,N/A,1,N/A,2,2,2,4,2,2,2,1
May 23 2023 23:00 MST,N/A,1,N/A,2,2,2,4,2,2,2,1
May 24 2023 00:00 MST,N/A,1,N/A,2,2,2,4,2,1,2,1
May 24 2023 01:00 MST,N/A,1,N/A,2,2,1,4,2,2,2,1
May 24 2023 02:00 MST,N/A,1,N/A,1,2,1,4,2,2,1,1
May 24 2023 03:00 MST,N/A,2,N/A,1,2,1,4,2,2,1,1
May 24 2023 04:00 MST,N/A,2,N/A,1,2,1,4,2,2,1,1
May 24 2023 05:00 MST,N/A,1,N/A,1,2,1,3,2,2,1,1
May 24 2023 06:00 MST,N/A,1,N/A,1,2,1,3,2,2,1,1
May 24 2023 07:00 MST,N/A,1,N/A,2,2,1,2,2,2,1,1
May 24 2023 08:00 MST,N/A,1,N/A,2,2,1,2,2,2,1,1
May 24 2023 09:00 MST,N/A,1,N/A,2,2,1,3,2,2,1,1
May 24 2023 10:00 MST,N/A,1,N/A,2,2,2,3,2,2,2,1
May 24 2023 11:00 MST,N/A,2,N/A,2,2,2,3,2,2,2,1
May 24 2023 12:00 MST,N/A,2,N/A,2,3,2,3,2,2,2,1
May 24 2023 13:00 MST,N/A,2,N/A,2,3,2,3,2,2,2,1
May 24 2023 14:00 MST,N/A,2,N/A,2,3,2,3,2,2,2,1
May 24 2023 15:00 MST,N/A,2,N/A,2,3,2,3,2,3,2,1
May 24 2023 16:00 MST,N/A,N/A,N/A,2,3,2,3,2,3,2,1
May 24 2023 17:00 MST,N/A,N/A,N/A,2,2,2,3,2,3,2,2
May 24 2023 18:00 MST,N/A,N/A,N/A,3,2,2,4,2,3,2,2
May 24 2023 19:00 MST,N/A,N/A,N/A,3,2,2,4,2,3,2,2
May 24 2023 20:00 MST,N/A,N/A,N/A,3,3,3,4,3,3,2,3
May 24 2023 21:00 MST,N/A,N/A,N/A,4,3,3,3,3,3,3,3
May 24 2023 22:00 MST,N/A,N/A,N/A,4,3,3,3,4,3,3,3
May 24 2023 23:00 MST,N/A,N/A,N/A,3,3,3,3,4,3,3,2
May 25 2023 00:00 MST,N/A,N/A,N/A,3,3,3,3,4,3,3,2
May 25 2023 01:00 MST,N/A,N/A,N/A,3,3,3,3,4,3,3,2
May 25 2023 02:00 MST,N/A,N/A,N/A,3,3,3,3,3,3,3,2
May 25 2023 03:00 MST,N/A,N/A,N/A,3,3,3,3,3,3,3,2
May 25 2023 04:00 MST,N/A,N/A,N/A,3,3,3,3,3,3,3,2
May 25 2023 05:00 MST,N/A,N/A,N/A,3,3,3,3,3,3,3,2
May 25 2023 06:00 MST,N/A,N/A,N/A,3,2,3,3,3,3,3,2
May 25 2023 07:00 MST,N/A,N/A,N/A,3,3,3,3,3,3,3,2
May 25 2023 08:00 MST,N/A,N/A,N/A,3,3,3,3,3,3,3,2
May 25 2023 09:00 MST,N/A,N/A,N/A,3,3,3,3,3,3,3,2
May 25 2023 10:00 MST,N/A,N/A,N/A,3,3,3,3,3,3,3,2
May 25 2023 11:00 MST,N/A,N/A,N/A,3,3,3,3,3,3,3,2
May 25 2023 12:00 MST,N/A,N/A,N/A,3,3,3,3,3,4,3,N/A
May 25 2023 13:00 MST,N/A,N/A,N/A,3,3,3,3,3,4,4,N/A
May 25 2023 14:00 MST,N/A,N/A,N/A,3,3,3,3,3,3,4,N/A
May 25 2023 15:00 MST,N/A,N/A,N/A,4,3,4,3,3,3,4,N/A
May 25 2023 16:00 MST,N/A,N/A,N/A,4,4,4,3,3,4,4,N/A