location,recordingDate,method,taskLength,status,transcriber,rain,wind,industryNoise,otherNoise,audioQuality,taskComments,internal_task_id
1267-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863922
1294-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863914
1268-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864033
1296-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864081
1049-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864133
1324-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863974
1014-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864104
1294-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864139
1267-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864149
1296-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864001
1296-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864074
1048-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864111
1294-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863907
1049-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863913
1296-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863934
1015-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863943
1267-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863944
1239-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863957
1324-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863969
1014-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863981
1048-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864007
1295-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864013
1048-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864021
1237-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864040
1266-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864046
1239-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864048
1268-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864099
1015-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864148
1239-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863935
1014-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863962
1266-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863977
1268-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864027
1324-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864050
1014-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864059
1266-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864076
1324-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864110
1295-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864116
1237-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864124
1294-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864134
1267-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864173
1237-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864008
1295-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864025
1239-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864077
1295-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864130
1296-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865164
1239-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865156
1014-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865159
1324-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865160
1266-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865161
1266-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865165
1239-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865166
1296-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865167
1014-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865172
1294-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865198
1324-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865173
1268-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865174
1048-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865175
1295-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865178
1294-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865182
1268-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865236
1267-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865193
1294-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865202
1015-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865206
1014-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865225
1295-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865237
1237-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865179
1295-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865181
1049-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865199
1015-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865204
1267-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865208
1266-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865210
1296-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865214
1014-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865218
1266-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865219
1268-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865232
1237-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865180
1015-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865191
1267-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865196
1239-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865211
1324-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865220
1048-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865226
1296-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865229
1295-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865233
1049-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865185
1015-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865197
1294-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865186
1049-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865203
1239-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865222
1049-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865187
1324-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865224
1237-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865234
1049-NW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865605
1294-NW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865606
1049-NE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865607
1294-NE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865608
1267-NE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865609
1015-SE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865610
1296-NW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865611
1324-NW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865612
1014-SW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865613
1239-SW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865614
1014-SE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865615
1266-NW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865616
1324-NE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865617
1239-SE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865618
1266-NE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865619
1237-SW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865620
1296-NE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865621
1295-NE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865622
1268-NW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865623
1048-NE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865624
1295-NW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865625
1237-SE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865626
1324-SW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865627
1268-NE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865628
1296-SW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865629
1048-NW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865630
1239-NW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865631
1266-SW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865632
1014-NW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865633
1296-SE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865634
1324-SE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865635
1014-NE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865636
1239-NE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865637
1237-NW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865638
1266-SE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865639
1295-SE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865640
1048-SE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865641
1268-SW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865642
1295-SW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865643
1268-SE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865644
1049-SE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865645
1294-SW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865646
1294-SE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865647
1015-NE, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865648
1015-NW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865649
1267-SW, 2023-05-21 05:55:00,None,1,New,Not Assigned,,,,,,,865650