location,recordingDate,method,taskLength,taskComments
FHP-G-299H22,2023-06-09 06:00:00,None,60,
FHP-G-299H22,2023-06-11 06:00:00,None,60,
FHP-G-299H22,2023-06-13 06:00:00,None,60,
FHP-G-299O22,2023-06-09 05:55:00,None,60,
FHP-G-299O22,2023-06-11 05:54:00,None,60,
FHP-G-299O22,2023-06-13 05:54:00,None,60,
FHP-S-3110O22,2023-06-09 05:55:00,None,60,
FHP-S-3110O22,2023-06-11 05:54:00,None,60,
FHP-S-3110O22,2023-06-13 05:54:00,None,60,
H23-CC-160,2023-06-09 06:00:00,None,60,
H23-CC-160,2023-06-11 06:00:00,None,60,
H23-CC-160,2023-06-13 06:00:00,None,60,
H23-RS-162,2023-06-09 06:00:00,None,60,
H23-RS-162,2023-06-11 06:00:00,None,60,
H23-RS-162,2023-06-13 06:00:00,None,60,
FHP-G-309O22,2023-06-09 05:55:00,None,60,
FHP-G-309O22,2023-06-11 05:54:00,None,60,
FHP-G-309O22,2023-06-13 05:54:00,None,60,
H23-CC-140,2023-06-09 05:55:00,None,60,
H23-CC-140,2023-06-11 05:54:00,None,60,
H23-CC-140,2023-06-13 05:54:00,None,60,
FHP-G-308F22,2023-06-09 05:55:00,None,60,
FHP-G-308F22,2023-06-11 05:54:00,None,60,
FHP-G-308F22,2023-06-13 05:54:00,None,60,
FHP-G-308H22,2023-06-09 05:55:00,None,60,
FHP-G-308H22,2023-06-11 05:54:00,None,60,
FHP-G-308H22,2023-06-13 05:54:00,None,60,
FHP-G-309L22,2023-06-09 05:55:00,None,60,
FHP-G-309L22,2023-06-11 05:54:00,None,60,
FHP-G-309L22,2023-06-13 05:54:00,None,60,
FHP-S-318L22,2023-06-09 05:55:00,None,60,
FHP-S-318L22,2023-06-11 05:54:00,None,60,
FHP-S-318L22,2023-06-13 05:54:00,None,60,
FHP-S-319H22,2023-06-09 05:55:00,None,60,
FHP-S-319H22,2023-06-11 05:54:00,None,60,
FHP-S-319H22,2023-06-13 05:54:00,None,60,
FHP-S-319L22,2023-06-09 06:00:00,None,60,
FHP-S-319L22,2023-06-11 06:00:00,None,60,
FHP-S-319L22,2023-06-13 06:00:00,None,60,
FHP-S-318H22,2023-06-09 05:55:00,None,60,
FHP-S-318H22,2023-06-11 05:54:00,None,60,
FHP-S-318H22,2023-06-13 05:54:00,None,60,
FHP-S-318R22,2023-06-09 05:55:00,None,60,
FHP-S-318R22,2023-06-11 05:54:00,None,60,
FHP-S-318R22,2023-06-13 05:54:00,None,60,
FHP-S-319O22,2023-06-09 05:55:00,None,60,
FHP-S-319O22,2023-06-11 05:54:00,None,60,
FHP-S-319O22,2023-06-13 05:54:00,None,60,
FHP-G-309F22,2023-06-09 05:55:00,None,60,
FHP-G-309F22,2023-06-11 05:54:00,None,60,
FHP-G-309F22,2023-06-13 05:54:00,None,60,
FHP-G-3010F22,2023-06-09 05:55:00,None,60,
FHP-G-3010F22,2023-06-11 05:54:00,None,60,
FHP-G-3010F22,2023-06-13 05:54:00,None,60,
FHP-G-3010L22,2023-06-09 05:55:00,None,60,
FHP-G-3010L22,2023-06-11 05:54:00,None,60,
FHP-G-3010L22,2023-06-13 05:54:00,None,60,
FHP-G-3010O22,2023-06-09 05:55:00,None,60,
FHP-G-3010O22,2023-06-11 05:54:00,None,60,
FHP-G-3010O22,2023-06-13 05:54:00,None,60,
FHP-G-3010R22,2023-06-09 05:55:00,None,60,
FHP-G-3010R22,2023-06-11 05:54:00,None,60,
FHP-G-3010R22,2023-06-13 05:54:00,None,60,
FHP-S-3110H22,2023-06-09 05:55:00,None,60,
FHP-S-3110H22,2023-06-11 05:54:00,None,60,
FHP-S-3110H22,2023-06-13 05:54:00,None,60,
FHP-G-299L22,2023-06-09 05:55:00,None,60,
FHP-G-299L22,2023-06-11 05:54:00,None,60,
FHP-G-299L22,2023-06-13 05:54:00,None,60,
FHP-S-3110L22,2023-06-09 05:55:00,None,60,
FHP-S-3110L22,2023-06-11 05:54:00,None,60,
FHP-S-3110L22,2023-06-13 05:54:00,None,60,
FHP-G-298O22,2023-06-09 05:55:00,None,60,
FHP-G-298O22,2023-06-11 05:54:00,None,60,
FHP-G-298O22,2023-06-13 05:54:00,None,60,
,,,,
,,,,