"","recording_name","location","total_abundance","unique_order_count","mean_singing_rate"
"1","1014-NE 2023-05-21","1014-NE",11,4,2.75
"2","1014-NE 2023-05-24","1014-NE",7,2,3.5
"3","1014-SE 2023-05-15","1014-SE",21,5,4.2
"4","1014-SE 2023-05-21","1014-SE",9,4,2.25
"5","1014-SW 2023-05-15","1014-SW",4,1,4
"6","1014-SW 2023-05-21","1014-SW",5,1,5
"7","1015-SW 2023-05-15","1015-SW",0,0,0
"8","1015-SW 2023-05-21","1015-SW",1,1,1
"9","1048-NE 2023-05-15","1048-NE",4,1,4
"10","1048-NE 2023-05-21","1048-NE",6,2,3
"11","1048-NW 2023-05-21","1048-NW",7,2,3.5
"12","1048-NW 2023-05-24","1048-NW",3,1,3
"13","1048-SE 2023-05-21","1048-SE",1,1,1
"14","1048-SE 2023-05-24","1048-SE",2,1,2
"15","1049-NE 2023-05-15","1049-NE",3,1,3
"16","1049-NE 2023-05-21","1049-NE",0,0,0
"17","1049-SE 2023-05-21","1049-SE",0,0,0
"18","1049-SE 2023-05-24","1049-SE",3,1,3
"19","1049-SW 2023-05-15","1049-SW",0,0,0
"20","1049-SW 2023-05-21","1049-SW",2,1,2
"21","1237-NW 2023-05-15","1237-NW",10,2,5
"22","1237-NW 2023-05-21","1237-NW",11,3,3.67
"23","1237-SE 2023-05-21","1237-SE",0,0,0
"24","1237-SE 2023-05-24","1237-SE",5,1,5
"25","1237-SW 2023-05-21","1237-SW",6,1,6
"26","1237-SW 2023-05-24","1237-SW",14,3,4.67
"27","1239-NE 2023-05-21","1239-NE",0,0,0
"28","1239-NE 2023-05-24","1239-NE",4,3,1.33
"29","1239-NW 2023-05-15","1239-NW",7,2,3.5
"30","1239-NW 2023-05-21","1239-NW",11,2,5.5
"31","1239-SE 2023-05-21","1239-SE",0,0,0
"32","1239-SE 2023-05-24","1239-SE",1,1,1
"33","1239-SW 2023-05-15","1239-SW",2,1,2
"34","1239-SW 2023-05-21","1239-SW",2,1,2
"35","1266-NE 2023-05-21","1266-NE",35,6,5.83
"36","1266-NE 2023-05-24","1266-NE",25,5,5
"37","1266-NW 2023-05-15","1266-NW",18,4,4.5
"38","1266-NW 2023-05-21","1266-NW",5,2,2.5
"39","1266-SE 2023-05-15","1266-SE",5,1,5
"40","1266-SE 2023-05-21","1266-SE",18,5,3.6
"41","1267-NE 2023-05-21","1267-NE",3,1,3
"42","1267-NE 2023-05-24","1267-NE",1,1,1
"43","1267-NW 2023-05-15","1267-NW",12,3,4
"44","1267-NW 2023-05-21","1267-NW",15,3,5
"45","1267-SE 2023-05-21","1267-SE",5,2,2.5
"46","1267-SE 2023-05-24","1267-SE",7,2,3.5
"47","1267-SW 2023-05-21","1267-SW",10,3,3.33
"48","1267-SW 2023-05-24","1267-SW",0,0,0
"49","1268-NW 2023-05-15","1268-NW",4,2,2
"50","1268-NW 2023-05-21","1268-NW",0,0,0
"51","1268-SE 2023-05-15","1268-SE",1,1,1
"52","1268-SE 2023-05-21","1268-SE",0,0,0
"53","1268-SW 2023-05-21","1268-SW",26,4,6.5
"54","1268-SW 2023-05-24","1268-SW",19,6,3.17
"55","1294-NE 2023-05-21","1294-NE",0,0,0
"56","1294-NE 2023-05-24","1294-NE",0,0,0
"57","1294-NW 2023-05-15","1294-NW",3,1,3
"58","1294-NW 2023-05-21","1294-NW",2,1,2
"59","1294-SE 2023-05-21","1294-SE",0,0,0
"60","1294-SE 2023-05-24","1294-SE",1,1,1
"61","1294-SW 2023-05-15","1294-SW",3,1,3
"62","1294-SW 2023-05-21","1294-SW",0,0,0
"63","1295-NE 2023-05-15","1295-NE",12,2,6
"64","1295-NE 2023-05-21","1295-NE",13,4,3.25
"65","1295-NW 2023-05-21","1295-NW",28,6,4.67
"66","1295-NW 2023-05-24","1295-NW",19,4,4.75
"67","1295-SE 2023-05-15","1295-SE",17,5,3.4
"68","1295-SE 2023-05-21","1295-SE",15,4,3.75
"69","1295-SW 2023-05-15","1295-SW",2,1,2
"70","1295-SW 2023-05-21","1295-SW",9,3,3
"71","1296-NE 2023-05-15","1296-NE",3,1,3
"72","1296-NE 2023-05-21","1296-NE",2,2,1
"73","1296-NW 2023-05-21","1296-NW",10,3,3.33
"74","1296-NW 2023-05-24","1296-NW",5,1,5
"75","1296-SW 2023-05-15","1296-SW",0,0,0
"76","1296-SW 2023-05-21","1296-SW",0,0,0
"77","1324-NE 2023-05-21","1324-NE",2,1,2
"78","1324-NE 2023-05-24","1324-NE",3,1,3
"79","1324-NW 2023-05-21","1324-NW",6,2,3
"80","1324-NW 2023-05-24","1324-NW",6,3,2
"81","1324-SE 2023-05-15","1324-SE",10,2,5
"82","1324-SE 2023-05-21","1324-SE",11,3,3.67
"83","1324-SW 2023-05-15","1324-SW",6,1,6
"84","1324-SW 2023-05-21","1324-SW",8,2,4
"85","FHP-G-298O22 2023-06-09","FHP-G-298O22",0,0,0
"86","FHP-G-298O22 2023-06-11","FHP-G-298O22",0,0,0
"87","FHP-G-299H22 2023-06-09","FHP-G-299H22",0,0,0
"88","FHP-G-299H22 2023-06-11","FHP-G-299H22",0,0,0
"89","FHP-G-299L22 2023-06-09","FHP-G-299L22",0,0,0
"90","FHP-G-299L22 2023-06-11","FHP-G-299L22",0,0,0
"91","FHP-G-299O22 2023-06-11","FHP-G-299O22",0,0,0
"92","FHP-G-299O22 2023-06-13","FHP-G-299O22",0,0,0
"93","FHP-G-3010F22 2023-06-09","FHP-G-3010F22",0,0,0
"94","FHP-G-3010F22 2023-06-11","FHP-G-3010F22",0,0,0
"95","FHP-G-3010O22 2023-06-11","FHP-G-3010O22",0,0,0
"96","FHP-G-3010O22 2023-06-13","FHP-G-3010O22",0,0,0
"97","FHP-G-3010R22 2023-06-09","FHP-G-3010R22",0,0,0
"98","FHP-G-3010R22 2023-06-11","FHP-G-3010R22",0,0,0
"99","FHP-G-308F22 2023-06-09","FHP-G-308F22",0,0,0
"100","FHP-G-308F22 2023-06-11","FHP-G-308F22",0,0,0
"101","FHP-G-308H22 2023-06-11","FHP-G-308H22",2,2,1
"102","FHP-G-308H22 2023-06-13","FHP-G-308H22",6,1,6
"103","FHP-G-309F22 2023-06-11","FHP-G-309F22",0,0,0
"104","FHP-G-309F22 2023-06-13","FHP-G-309F22",3,1,3
"105","FHP-G-309L22 2023-06-11","FHP-G-309L22",1,1,1
"106","FHP-G-309L22 2023-06-13","FHP-G-309L22",1,1,1
"107","FHP-G-309O22 2023-06-11","FHP-G-309O22",0,0,0
"108","FHP-G-309O22 2023-06-13","FHP-G-309O22",0,0,0
"109","FHP-S-3110H22 2023-06-09","FHP-S-3110H22",0,0,0
"110","FHP-S-3110H22 2023-06-11","FHP-S-3110H22",0,0,0
"111","FHP-S-3110L22 2023-06-11","FHP-S-3110L22",0,0,0
"112","FHP-S-3110L22 2023-06-13","FHP-S-3110L22",0,0,0
"113","FHP-S-3110O22 2023-06-09","FHP-S-3110O22",3,1,3
"114","FHP-S-3110O22 2023-06-11","FHP-S-3110O22",0,0,0
"115","FHP-S-318H22 2023-06-09","FHP-S-318H22",8,2,4
"116","FHP-S-318H22 2023-06-11","FHP-S-318H22",1,1,1
"117","FHP-S-318L22 2023-06-11","FHP-S-318L22",0,0,0
"118","FHP-S-318L22 2023-06-13","FHP-S-318L22",0,0,0
"119","FHP-S-318R22 2023-06-11","FHP-S-318R22",0,0,0
"120","FHP-S-318R22 2023-06-13","FHP-S-318R22",0,0,0
"121","FHP-S-319H22 2023-06-09","FHP-S-319H22",0,0,0
"122","FHP-S-319H22 2023-06-11","FHP-S-319H22",0,0,0
"123","FHP-S-319L22 2023-06-09","FHP-S-319L22",0,0,0
"124","FHP-S-319L22 2023-06-11","FHP-S-319L22",0,0,0
"125","FHP-S-319O22 2023-06-09","FHP-S-319O22",0,0,0
"126","FHP-S-319O22 2023-06-11","FHP-S-319O22",0,0,0
